#,Name,OS,Property Address,City,P-C,Poll,Community,Latitude,Longitude
1,"PLACEHOLDER 01, RESIDENT",Tenant,169 BISMARK DR,CAMBRIDGE,N1S0A0,Ward 05 Poll 501,Muslim,43.3711651,-80.3292750
2,"PLACEHOLDER 02, RESIDENT",Spouse,169 BISMARK DR,CAMBRIDGE,N1S0A0,Ward 05 Poll 501,Muslim,43.3711651,-80.3292750
3,"PLACEHOLDER 03, RESIDENT",Owner,352 FREURE DR,CAMBRIDGE,N1S0A0,Ward 05 Poll 502,Punjabi / Sikh,43.3667030,-80.3253360
4,"PLACEHOLDER 04, RESIDENT",Tenant,128 FREURE DR,CAMBRIDGE,N1S0A0,Ward 05 Poll 503,Hindu,43.3676350,-80.3262230
5,"PLACEHOLDER 05, RESIDENT",Spouse,15 BIRCHLAWN AVE,CAMBRIDGE,N1S0A0,Ward 05 Poll 504,Other minority,43.3722010,-80.3348270
6,"PLACEHOLDER 06, RESIDENT",Owner,15 BIRCHLAWN AVE,CAMBRIDGE,N1S0A0,Ward 05 Poll 504,Other minority,43.3722010,-80.3348270
7,"PLACEHOLDER 07, RESIDENT",Tenant,50 DUCHESS DR,CAMBRIDGE,N1S0A0,Ward 05 Poll 505,Everyone else,43.3700190,-80.3312160
8,"PLACEHOLDER 08, RESIDENT",Spouse,115 WESTCLIFF WAY,CAMBRIDGE,N1S0A0,Ward 05 Poll 501,,43.3708201,-80.3455546
9,"PLACEHOLDER 09, RESIDENT",Owner,95 ROSSLINN RD,CAMBRIDGE,N1S0A0,Ward 05 Poll 502,Muslim,43.3717330,-80.3393699
10,"PLACEHOLDER 10, RESIDENT",Tenant,95 ROSSLINN RD,CAMBRIDGE,N1S0A0,Ward 05 Poll 502,Muslim,43.3717330,-80.3393699
11,"PLACEHOLDER 11, RESIDENT",Spouse,49 RONALD RD,CAMBRIDGE,N1S0A0,Ward 05 Poll 503,Punjabi / Sikh,43.3730715,-80.3376330
12,"PLACEHOLDER 12, RESIDENT",Owner,8 FARMSTEAD PL,CAMBRIDGE,N1S0A0,Ward 05 Poll 504,Hindu,43.3711599,-80.3334894
13,"PLACEHOLDER 13, RESIDENT",Tenant,72 BLOSSOMFIELD CRES,CAMBRIDGE,N1S0A0,Ward 05 Poll 505,Other minority,43.3697045,-80.3410592
14,"PLACEHOLDER 14, RESIDENT",Spouse,72 BLOSSOMFIELD CRES,CAMBRIDGE,N1S0A0,Ward 05 Poll 505,Other minority,43.3697045,-80.3410592
15,"PLACEHOLDER 15, RESIDENT",Owner,38 DOLMAN CRT,CAMBRIDGE,N1S0A0,Ward 05 Poll 501,Everyone else,43.3696110,-80.3268360
16,"PLACEHOLDER 16, RESIDENT",Tenant,40 DUNEDIN CRT,CAMBRIDGE,N1S0A0,Ward 05 Poll 502,,43.3708740,-80.3294760
