#,Name,OS,Property Address,City,P-C,Poll,Latitude,Longitude
1,"NGUYEN, PETER",Owner,169 BISMARK DR,CAMBRIDGE,N1S4Y6,Ward 05 Poll 501,43.3711651,-80.3292750
2,"COSTA, FATIMA",Owner,169 BISMARK DR,CAMBRIDGE,N1S4Y6,Ward 05 Poll 503,43.3711651,-80.3292750
3,"OKAFOR, ANDRE",Tenant,352 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 501,43.3551953,-80.3428271
4,"SILVA, ZARA",Boarder,352 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 501,43.3551953,-80.3428271
5,"MACLEOD, PRIYA",Boarder,352 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 501,43.3551953,-80.3428271
6,"SILVA, LIAM",Owner,128 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 505,43.3551953,-80.3428271
7,"DUBOIS, PETER",Owner,128 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 502,43.3551953,-80.3428271
8,"OKAFOR, FATIMA",Tenant,128 FREURE DR,CAMBRIDGE,N1S0A4,Ward 05 Poll 503,43.3551953,-80.3428271
9,"NGUYEN, FATIMA",Owner,15 BIRCHLAWN AVE,CAMBRIDGE,N1S3K5,Ward 05 Poll 505,43.3451020,-80.3394516
10,"HADDAD, FATIMA",Tenant,15 BIRCHLAWN AVE,CAMBRIDGE,N1S3K5,Ward 05 Poll 501,43.3451020,-80.3394516
11,"DUBOIS, GRACE",Spouse,50 DUCHESS DR,CAMBRIDGE,N1S4V5,Ward 05 Poll 501,43.3408000,-80.3373517
12,"RAHMAN, PRIYA",Owner,50 DUCHESS DR,CAMBRIDGE,N1S4V5,Ward 05 Poll 505,43.3408000,-80.3373517
13,"MACLEOD, CHLOE",Boarder,50 DUCHESS DR,CAMBRIDGE,N1S4V5,Ward 05 Poll 503,43.3408000,-80.3373517
14,"DUBOIS, RAVI",Spouse,115 WESTCLIFF WAY,CAMBRIDGE,N1S5A7,Ward 05 Poll 503,43.3708201,-80.3455546
15,"MACLEOD, OMAR",Tenant,115 WESTCLIFF WAY,CAMBRIDGE,N1S5A7,Ward 05 Poll 501,43.3708201,-80.3455546
16,"HADDAD, ANDRE",Boarder,95 ROSSLINN RD,CAMBRIDGE,N1S3K3,Ward 05 Poll 503,43.3717330,-80.3393699
17,"LARSEN, RAVI",Spouse,95 ROSSLINN RD,CAMBRIDGE,N1S3K3,Ward 05 Poll 505,43.3717330,-80.3393699
18,"SILVA, DANIEL",Boarder,95 ROSSLINN RD,CAMBRIDGE,N1S3K3,Ward 05 Poll 502,43.3717330,-80.3393699
19,"NGUYEN, CHLOE",Boarder,49 RONALD RD,CAMBRIDGE,N1S4N2,Ward 05 Poll 501,43.3730715,-80.3376330
20,"FERREIRA, PRIYA",Spouse,49 RONALD RD,CAMBRIDGE,N1S4N2,Ward 05 Poll 503,43.3730715,-80.3376330
21,"DUBOIS, CHLOE",Boarder,8 FARMSTEAD PL,CAMBRIDGE,N1S4Y1,Ward 05 Poll 501,43.3711599,-80.3334894
22,"COSTA, PRIYA",Spouse,8 FARMSTEAD PL,CAMBRIDGE,N1S4Y1,Ward 05 Poll 504,43.3711599,-80.3334894
23,"OKAFOR, ELENA",Boarder,72 BLOSSOMFIELD CRES,CAMBRIDGE,N1S0A5,Ward 05 Poll 503,43.3697045,-80.3410592
24,"FERREIRA, HANA",Owner,38 DOLMAN CRT,CAMBRIDGE,N1S4T9,Ward 05 Poll 504,43.3696110,-80.3268360
25,"KOVACS, OMAR",Owner,38 DOLMAN CRT,CAMBRIDGE,N1S4T9,Ward 05 Poll 504,43.3696110,-80.3268360
26,"MACLEOD, ELENA",Tenant,40 DUNEDIN CRT,CAMBRIDGE,N1S3Z6,Ward 05 Poll 502,43.3708740,-80.3294760
27,"BENNETT, CHLOE",Owner,58 BLAIR RD,CAMBRIDGE,N1S2J1,Ward 05 Poll 502,43.3618755,-80.3203642
28,"OSEI, PETER",Spouse,58 BLAIR RD,CAMBRIDGE,N1S2J1,Ward 05 Poll 502,43.3618755,-80.3203642
29,"COSTA, FATIMA",Spouse,75 ANGELA CRES,CAMBRIDGE,N1S4C2,Ward 05 Poll 504,43.3406205,-80.3391149
30,"KOVACS, PETER",Tenant,75 ANGELA CRES,CAMBRIDGE,N1S4C2,Ward 05 Poll 502,43.3406205,-80.3391149
